separation [$FWHM$],separation [arcsec],PCA (001 components),PCA (002 components),PCA (003 components),PCA (004 components),PCA (005 components),PCA (007 components),PCA (009 components),PCA (011 components),PCA (015 components),PCA (020 components),PCA (025 components),PCA (030 components),PCA (040 components),PCA (050 components),Best
1.0,0.09973695740754035,0.19975124843092157,0.20930044588378924,0.3540812947491614,0.46833785816846263,0.480898049784084,0.51071844710873,0.5897729479968781,0.22868947134089102,0.28058893921361777,0.25443026624776166,0.1863025405485808,0.32360875356905344,0.23083093165809204,0.17811799924408425,0.17811799924408425
2.0,0.1994739148150807,0.019259113230965647,0.017317258341642,0.013004354210053113,0.01916963675611902,0.02014636643067873,0.026663073218984756,0.01661895758659407,0.011374532477908414,0.008956664490577915,0.006943404311610285,0.009886432119745135,0.011077799234184667,0.0089919957985251,0.009040072609555541,0.006943404311610285
3.0,0.29921087222262105,0.0010339213586350849,0.001025938841232602,0.001075976757811324,0.0012175846984098832,0.001312370284831095,0.001816957981218427,0.0016146902846849711,0.0015703982632830848,0.0017868164155974708,0.0018580801278607886,0.002050813502302959,0.001823187146785328,0.002568877047595875,0.0026279813805636662,0.001025938841232602
4.0,0.3989478296301614,0.00042476860411156645,0.0004139933834871343,0.0006601173250501391,0.000711203099807301,0.0006983319351835915,0.0007047515500548443,0.0008747018965916311,0.0011230627479420485,0.00115721250198961,0.0011450609279458229,0.0011739247778849015,0.001366936976667856,0.0016394411641252153,0.0017526982077742284,0.0004139933834871343
5.0,0.4986847870377018,0.00022886055646180714,0.0002474382450051686,0.0004194431045891851,0.0004506164842436386,0.0004547569651284308,0.00044115641841960127,0.0004226899660886767,0.0006316560449954858,0.0008262484485120541,0.0009049020600424475,0.0009496653045721673,0.0009220898771625753,0.0011485985712846858,0.0010723977413115934,0.00022886055646180714
6.0,0.5984217444452421,0.00030846419470666945,0.0003111360213898999,0.00038428236276543684,0.0003889443299599068,0.00037814211386545964,0.0004979495040834034,0.0004909435754184059,0.0006115843641139158,0.0006495890812332734,0.0007977196620492431,0.0008365467533577823,0.0008871013722382445,0.0009882935023118695,0.0010325401520390805,0.00030846419470666945
7.0,0.6981587018527825,0.0002330650874131905,0.00024327660864501992,0.00033528454649438255,0.0003486653357866184,0.0003723172090504232,0.0004167212670419417,0.0004475424319839073,0.0005000106047435866,0.0005727029286750759,0.0006397975488792679,0.0007154210746625684,0.0007315404850794411,0.0008584865170120071,0.0008920019214182053,0.0002330650874131905
8.0,0.7978956592603228,0.000258124730160365,0.00025709436271604045,0.0003033483601798966,0.0003069338135506099,0.00032716112063505183,0.000376084470789598,0.0004069124808323936,0.0004436382701150886,0.00045881718190206213,0.0005244668704229676,0.0005353876008721275,0.0005892963090068393,0.0007318670315453646,0.000828630298357044,0.00025709436271604045
9.0,0.8976326166678632,0.00019580276098058914,0.000199293729200161,0.00025922534953478916,0.0002590355805671003,0.00026691759493051694,0.0003612176736879621,0.00035731327614785713,0.0003978588384452637,0.0004173116987865981,0.00046474955220949756,0.0005430319385633868,0.0005599473689039849,0.0006902708154580933,0.0008010685973313162,0.00019580276098058914
10.0,0.9973695740754036,0.00019628394491477718,0.0001967861554979861,0.0002629499301809913,0.00026308882014881537,0.00027826934674330203,0.0003245794244027068,0.0003147683419146229,0.0003968547553513984,0.00042475756485959356,0.000536835968402916,0.0005178705757995393,0.0005830273466879065,0.0006581520082357367,0.0007027394535620303,0.00019628394491477718
11.0,1.097106531482944,0.00021194620910470877,0.00022017778419097063,0.000266028568042009,0.00026928518116267527,0.0002572392778716541,0.0003016309976963255,0.0003040467675163587,0.00037314124083575554,0.0004409550535928125,0.0005080022955198947,0.0005757629268004793,0.0005994720858041392,0.0007398805987290024,0.0007478124322039989,0.00021194620910470877
12.0,1.1968434888904842,0.00013154659347818702,0.00013548037217639338,0.00016817551872408786,0.00017141589910979295,0.00017611095011685896,0.00019613279537814278,0.00021610634255927455,0.00022639089113513566,0.0002587288639083304,0.0002865578641351714,0.00033910042354587985,0.00034568861979225184,0.00042864277208619285,0.00045483149525547817,0.00013154659347818702
13.0,1.2965804462980246,1.208356586187525e-08,1.2485278778905301e-08,1.6193653672321316e-08,1.6018215813802194e-08,1.6318388563004475e-08,1.9075083986637034e-08,2.147879455383444e-08,2.3429689959491505e-08,3.110361685658914e-08,3.5768518859582627e-08,3.795526978096321e-08,4.6126904261467936e-08,5.5919269688734516e-08,5.643452508673934e-08,1.208356586187525e-08
14.0,1.396317403705565,4.35240790300725e-13,4.4675390482252923e-13,5.269166865859227e-13,5.321512543047748e-13,4.79400387808611e-13,5.847480278411745e-13,6.720880605892095e-13,7.657018433116307e-13,9.208778059351214e-13,1.0668935071561201e-12,1.1716939976179768e-12,1.3814905969778859e-12,1.655702831189834e-12,1.7527767105871782e-12,4.35240790300725e-13
