,wl,wl_err,tpt,tpt_err
IB242,2.4196313187846004,0.050377303878915,0.09454462,0.28163508
IB248,2.4779414681809,0.050777058295451004,0.49962258,0.14880827
Br-a-cont,3.9650146059300004,0.10457446344758001,0.358224509330346,0.03180407533793949
Br-a,4.0512309911063005,0.025302942282067,0.5951738,0.02174338
