measured_x,measured_y,theory_x,theory_y,vlt_mask_x,vlt_mask_y
0.16382538838679173,0.9501638825919831,1.245890746319596,0.04527229361977513,0.19677240238643723,0.8797842350669679
0.3285604583850197,0.7509578474383801,1.2222482131254058,0.06022465137668095,0.26266643038572823,0.7984095174619983
0.5008986854600885,0.5694027763864197,1.3285023332742627,0.03193964604793663,0.4238714631697085,0.6247905295581392
0.6662673518813866,0.41600041023805184,1.3753769486464855,0.021279896286939343,0.5401816636904351,0.4719333152203455
0.8310024218796146,0.2639539789789083,1.423299878100516,0.015831833194925506,0.6644369622147397,0.3513727074752236
0.9957374918778426,0.17285489223320347,1.465232441372792,0.01186162529332281,0.7524364654189211,0.2445424348036468
1.16047256187607,0.09661903507717574,1.5027554295390546,0.0089918814963441,0.8721861893791716,0.15463590658454981
1.3334443853742095,0.05308757352214368,1.5434815996219498,0.006721804752543387,0.9875007383779311,0.0972220219911254
1.4981794553724375,0.023740550844660268,1.5846653671215072,0.004855162406502427,1.1028152873766905,0.0614356623673516
1.6629145253706654,0.011160302750512515,1.6253915372044019,0.0035244379112224873,1.2391793175418901,0.04617991744609333
1.8276495953688934,0.00525175748409519,1.6587961486207097,0.002603998165755464,1.548972768621891,0.05244098571712939
1.9923846653671213,0.0026083895581359142,1.687624785870399,0.0019604390124297543,1.710962254120148,0.04833038107073986
2.161238112115304,0.0014960088726300213,1.720571799870045,0.0014261054703095764,1.8720013449838002,0.03468494944500236
2.330091558863488,0.0008429314319890835,1.7535188138696909,0.0009966132246145448,2.017094925866855,0.022923770408330345
2.494826628861716,0.0006333030363578915,1.786465827869336,0.0006956868480487448,2.1241727213657033,0.01461738835259949
2.6595616988599438,0.00048364525437998517,1.819412841868982,0.0004911107799772131,2.256594373787356,0.009294534299638238
2.8242967688581717,0.00034853897820545773,1.8505294662019804,0.0003403475863262733,2.4069679248626614,0.006908246347733442
2.9890318388563997,0.0002811502305652637,1.871578947368421,0.0002443160133477957,2.556602280111051,0.006212102834245705
3.162003662354539,0.0002605804704261915,1.892514029180695,0.0001751179727565587,2.6854486384310934,0.005524498748591056
3.326738732352766,0.00024589569543134,1.9182538838679188,0.00012024380092879758,2.8211287867428214,0.004057583092692708
3.491473802350994,0.0002164720469735425,1.9429641443676524,0.0000800082545940403,2.9710607403111386,0.002927590989509232
3.656208872349222,0.00016667298129794026,1.9676744048673869,0.000053556079483119664,3.13592060960482,0.0027023388937241276
3.82094394234745,0.00013710949795361666,1.9923846653671213,0.00003563533761612725,3.2314277275680774,0.003124226407030736
3.9897973890956338,0.00011792518957164525,2.017094925866855,0.000023853650894657505,3.3541945773524717,0.003965155176229344
4.158650835843817,0.00009808413040888091,2.0747522003662353,0.00001708047720059715,3.5008872349223217,0.004356591979411143
4.323385905842045,0.00008343494084772975,2.210658633114773,0.00002091979411057211,3.65385551420639,0.004510250122286178
4.488120975840273,0.00007490556886487865,2.3218548053635764,0.000028823760545297376,3.786499336802367,0.0035968347894030908
4.652856045838501,0.00008075248297219806,2.4330509776123805,0.00003843524235047159,3.921844172721365,0.0028713349405369557
4.817591115836729,0.00008741212393770844,2.5648390336109625,0.00004197841705995934,4.075459625494712,0.002255761101847867
